attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Stiffness,food_processor,Physics,Stiffness: What is the amount of continued weight that a food_processor can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,food_processor,Physics,Malleability: Can a food_processor be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,football_helmet,Physics,"Elasticity: If you were to deform a football_helmet (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,football_helmet,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a football_helmet?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,football_helmet,Physics,"Brittleness: How easy is it for a football_helmet to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,football_helmet,Physics,"Softness: What is the softness (fluffyness, squishiness) of a football_helmet?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,football_helmet,Physics,Sharpness: What is sharpness of a football_helmet?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Stiffness,football_helmet,Physics,Stiffness: What is the amount of continued weight that a football_helmet can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,football_helmet,Physics,Malleability: Can a football_helmet be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Sharpness,footstool,Physics,Sharpness: What is sharpness of a footstool?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,footstool,Physics,Malleability: Can a footstool be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,footwear,Physics,"Brittleness: How easy is it for a footwear to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,footwear,Physics,Sharpness: What is sharpness of a footwear?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Elasticity,fork,Physics,"Elasticity: If you were to deform a fork (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,fork,Physics,Surface smoothness: What is the surface smoothness of a fork?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Surface Hardness,fork,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a fork?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,fork,Physics,"Brittleness: How easy is it for a fork to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,fork,Physics,"Softness: What is the softness (fluffyness, squishiness) of a fork?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,fork,Physics,Sharpness: What is sharpness of a fork?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,0.75
Sharpness,freshener,Physics,Sharpness: What is sharpness of a freshener?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,freshener,Physics,Malleability: Can a freshener be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,frisbee,Physics,"Elasticity: If you were to deform a frisbee (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,frisbee,Physics,Surface smoothness: What is the surface smoothness of a frisbee?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,frisbee,Physics,"Brittleness: How easy is it for a frisbee to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,frisbee,Physics,"Softness: What is the softness (fluffyness, squishiness) of a frisbee?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,frisbee,Physics,Sharpness: What is sharpness of a frisbee?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,frisbee,Physics,Malleability: Can a frisbee be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,fruit,Physics,"Elasticity: If you were to deform a fruit (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface Hardness,fruit,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a fruit?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Softness,fruit,Physics,"Softness: What is the softness (fluffyness, squishiness) of a fruit?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
